""	"Rank"	"Title"	"Description"	"Runtime"	"Genre"	"Rating"	"Metascore"	"Votes"	"Gross_Earning_in_Mil"	"Director"	"Actor"
"1"	1	"Suicide Squad"	"   A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse."	123	"Action"	6.1	40	499144	325.1	"David Ayer"	"Will Smith"
"2"	2	"Fantastic Beasts and Where to Find Them"	"   The adventures of writer Newt Scamander in New York's secret community of witches and wizards seventy years before Harry Potter reads his book in school."	133	"Adventure"	7.4	66	320660	234	"David Yates"	"Eddie Redmayne"
"3"	3	"Hush"	"   A deaf writer who retreated into the woods to live a solitary life must fight for her life in silence when a masked killer appears at her window."	82	"Horror"	6.6	67	69469	NA	"Mike Flanagan"	"John Gallagher Jr."
"4"	4	"Split"	"   Three girls are kidnapped by a man with a diagnosed 23 distinct personalities. They must try to escape before the apparent emergence of a frightful new 24th."	117	"Horror"	7.3	62	291741	138.2	"M. Night Shyamalan"	"James McAvoy"
"5"	5	"Sing"	"   In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists' find that their lives will never be the same."	108	"Animation"	7.1	59	105186	270.4	"Garth Jennings"	"Matthew McConaughey"
"6"	6	"Deadpool"	"   A fast-talking mercenary with a morbid sense of humor is subjected to a rogue experiment that leaves him with accelerated healing powers and a quest for revenge."	108	"Action"	8	65	771341	363	"Tim Miller"	"Ryan Reynolds"
"7"	7	"X-Men: Apocalypse"	"   After the re-emergence of the world's first mutant, the world-destroyer Apocalypse, the X-Men must unite to defeat his extinction level plan."	144	"Action"	7	52	333292	155.4	"Bryan Singer"	"James McAvoy"
"8"	8	"10 Cloverfield Lane"	"   After getting in a car accident, a woman is held in a shelter with two men, who claim the outside world is affected by a widespread chemical attack."	103	"Drama"	7.2	76	247878	71.9	"Dan Trachtenberg"	"John Goodman"
"9"	9	"La La Land"	"   While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future."	128	"Comedy"	8.1	93	400071	151.1	"Damien Chazelle"	"Ryan Gosling"
"10"	10	"Batman v Superman: Dawn of Justice"	"   Fearing that the actions of Superman are left unchecked, Batman takes on the Man of Steel, while the world wrestles with what kind of a hero it really needs."	151	"Action"	6.5	44	550198	330.3	"Zack Snyder"	"Ben Affleck"
"11"	11	"Passengers"	"   A spacecraft traveling to a distant colony planet and transporting thousands of people has a malfunction in its sleep chambers. As a result, two passengers are awakened 90 years early."	116	"Drama"	7	41	287526	100	"Morten Tyldum"	"Jennifer Lawrence"
"12"	12	"Nocturnal Animals"	"   A wealthy art gallery owner receives a draft of her ex-husband's new novel, a violent thriller she interprets as a veiled threat and a symbolic revenge tale."	116	"Crime"	7.5	67	189350	10.64	"Tom Ford"	"Amy Adams"
"13"	13	"Moana"	"   In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right."	107	"Animation"	7.6	81	205776	248.7	"Ron Clements"	"Auli'i Cravalho"
"14"	14	"Don't Breathe"	"   Hoping to walk away with a massive fortune, a trio of thieves break into the house of a blind man who isn't as helpless as he seems."	88	"Crime"	7.1	71	173428	89.22	"Fede Alvarez"	"Stephen Lang"
"15"	15	"Terrifier"	"   A maniacal clown terrorizes three young women on Halloween night and everyone else who stands in his way."	82	"Horror"	5.6	NA	6081	NA	"Damien Leone"	"Jenna Kanell"
"16"	16	"Arrival"	"   A linguist is recruited by the military to communicate with alien lifeforms after twelve mysterious spacecrafts land around the world."	116	"Drama"	7.9	81	476209	100.5	"Denis Villeneuve"	"Amy Adams"
"17"	17	"Ouija: Origin of Evil"	"   In 1967 Los Angeles, a widowed mother and her daughters add a new stunt to bolster their seance scam business by inviting an evil presence into their home, not realizing how dangerous it is."	99	"Horror"	6.1	65	44110	34.9	"Mike Flanagan"	"Elizabeth Reaser"
